pair_id,trial,participant,moving,fixed,overlap,bone_dice_at_reference,condition,repeat,seed,method,init_mtre_mm,mtre_mm,success,improved,residual_translation_mm,residual_rotation_deg,dice,ncc,seconds,converged
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,EASY,1,1100795253,intensity,0.4976,1.5236,True,False,1.2585,1.627,0.4289,0.8794,6.841,True
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,EASY,1,1100795253,anatomy,0.4976,7.1815,False,False,6.9114,9.4845,0.5455,0.7366,0.262,False
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,EASY,2,1350625594,intensity,0.3991,1.6315,True,False,1.3335,1.6573,0.4289,0.8788,4.072,True
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,EASY,2,1350625594,anatomy,0.3991,6.9322,False,False,6.7531,9.119,0.5407,0.7355,0.256,False
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,MEDIUM,0,855733017,intensity,2.7385,1.7823,True,True,1.3945,2.0389,0.4289,0.8769,4.039,True
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,MEDIUM,0,855733017,anatomy,2.7385,5.6064,False,False,5.897,8.0729,0.5505,0.7402,0.25,False
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,MEDIUM,1,1295840409,intensity,2.4483,1.811,True,True,1.2609,2.0467,0.3998,0.8777,5.024,True
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,MEDIUM,1,1295840409,anatomy,2.4483,4.4694,True,False,4.1601,7.061,0.5439,0.7663,0.238,False
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,MEDIUM,2,198888047,intensity,4.3741,1.7275,True,True,1.7508,1.8164,0.4581,0.8761,5.912,True
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,MEDIUM,2,198888047,anatomy,4.3741,5.9071,False,False,6.1981,7.9907,0.5441,0.7358,0.251,False
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,HARD,0,31057579,intensity,2.5237,1.9528,True,True,1.5122,2.175,0.4289,0.8752,3.805,True
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,HARD,0,31057579,anatomy,2.5237,9.389,False,False,2.2278,12.8435,0.5505,0.7649,0.2,True
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,HARD,1,1941579051,intensity,4.3813,1.5652,True,True,1.3271,1.6403,0.4289,0.8795,3.947,True
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,HARD,1,1941579051,anatomy,4.3813,8.3441,False,False,3.3252,11.7265,0.5138,0.7514,0.245,False
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,HARD,2,995322830,intensity,7.6747,9.9424,False,False,10.8032,2.6258,0.2298,0.8352,3.731,True
PA001_trial_A_V31-V32,PA001_trial_A,PA001,31,32,0.7974,0.461,HARD,2,995322830,anatomy,7.6747,15.1466,False,False,16.1678,20.3263,0.1354,0.6212,0.256,False
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,EASY,0,1727978117,intensity,0.2159,10.5984,False,False,6.955,11.129,0.2789,0.7894,6.491,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,EASY,0,1727978117,anatomy,0.2159,3.1915,True,False,1.7656,3.5047,0.5476,0.6959,0.17,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,EASY,1,1552653572,intensity,0.4293,11.5031,False,False,8.4556,11.096,0.2026,0.7899,9.365,False
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,EASY,1,1552653572,anatomy,0.4293,3.193,True,False,1.7645,3.5086,0.5477,0.696,0.156,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,EASY,2,848045436,intensity,0.5988,10.5321,False,False,6.9882,11.0144,0.2789,0.7892,4.836,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,EASY,2,848045436,anatomy,0.5988,3.1911,True,False,1.7653,3.5036,0.5477,0.6959,0.207,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,MEDIUM,0,707627511,intensity,5.1166,8.2525,False,False,6.3809,6.134,0.3279,0.7812,3.301,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,MEDIUM,0,707627511,anatomy,5.1166,8.3885,False,False,6.5113,9.7648,0.5187,0.7251,0.311,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,MEDIUM,1,61876955,intensity,3.5296,10.4485,False,False,6.4968,11.0497,0.2922,0.7891,3.325,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,MEDIUM,1,61876955,anatomy,3.5296,3.2276,True,True,1.7275,3.6461,0.5453,0.6964,0.435,False
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,MEDIUM,2,302895706,intensity,3.1098,10.4452,False,False,6.7607,11.0279,0.2886,0.7885,4.223,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,MEDIUM,2,302895706,anatomy,3.1098,3.2274,True,False,1.7278,3.6455,0.5453,0.6964,0.42,False
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,HARD,0,1224417568,intensity,5.0256,5.2536,False,False,3.8545,3.358,0.387,0.78,3.692,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,HARD,0,1224417568,anatomy,5.0256,12.0525,False,False,10.9089,14.3561,0.493,0.6639,0.338,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,HARD,1,1694680496,intensity,3.287,12.7448,False,False,10.0061,11.1715,0.1466,0.7867,5.03,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,HARD,1,1694680496,anatomy,3.287,3.1885,True,True,1.7676,3.4963,0.5475,0.6958,0.406,False
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,HARD,2,825979905,intensity,4.9508,4.9363,True,True,3.4916,4.6808,0.3994,0.7804,3.904,True
PA001_trial_B_V9-V10,PA001_trial_B,PA001,9,10,0.6116,0.3138,HARD,2,825979905,anatomy,4.9508,3.2274,True,True,1.7278,3.6455,0.5453,0.6964,0.41,False
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,EASY,0,1290045339,intensity,0.3939,7.0624,False,False,3.8709,9.3009,0.159,0.8125,4.205,True
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,EASY,0,1290045339,anatomy,0.3939,3.2179,True,False,0.3497,4.5648,0.593,0.7277,0.208,True
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,EASY,1,1248467663,intensity,0.7742,7.4149,False,False,5.3842,9.3689,0.1471,0.8068,4.123,True
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,EASY,1,1248467663,anatomy,0.7742,3.212,True,False,0.3512,4.5595,0.593,0.7275,0.434,False
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,EASY,2,610791892,intensity,0.6197,7.4345,False,False,5.749,9.0999,0.1459,0.8065,5.318,True
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,EASY,2,610791892,anatomy,0.6197,3.0918,True,False,0.3864,4.4105,0.5945,0.7277,0.452,False
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,MEDIUM,0,66573355,intensity,1.7513,7.0256,False,False,4.3268,9.1863,0.154,0.8141,3.713,True
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,MEDIUM,0,66573355,anatomy,1.7513,3.2179,True,False,0.3497,4.5648,0.593,0.7277,0.302,True
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,MEDIUM,1,1372516453,intensity,2.4976,6.4035,False,False,3.8536,8.1819,0.1666,0.8065,3.317,True
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,MEDIUM,1,1372516453,anatomy,2.4976,3.209,True,False,0.3523,4.5561,0.5933,0.7277,0.415,False
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,MEDIUM,2,338196225,intensity,5.7196,7.0559,False,False,4.5172,9.0974,0.1511,0.8138,5.321,True
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,MEDIUM,2,338196225,anatomy,5.7196,3.2085,True,True,0.3449,4.5486,0.593,0.7275,0.451,False
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,HARD,0,1280921110,intensity,5.2856,7.1209,False,False,3.0716,9.2813,0.1706,0.8072,3.96,True
PA001_trial_B_V10-V11,PA001_trial_B,PA001,10,11,0.6716,0.4798,HARD,0,1280921110,anatomy,5.2856,3.0902,True,True,0.3841,4.4074,0.594,0.7277,0.439,False
